"report_number","local_case_number","agency_name","acrs_report_type","crash_date_time","route_type","road_name","cross_street_type","cross_street_name","off_road_description","municipality","related_non_motorist","collision_type","weather","surface_condition","light","traffic_control","driver_substance_abuse","non_motorist_substance_abuse","person_id","driver_at_fault","injury_severity","circumstance","driver_distracted_by","drivers_license_state","vehicle_id","vehicle_damage_extent","vehicle_first_impact_location","vehicle_second_impact_location","vehicle_body_type","vehicle_movement","vehicle_continuing_dir","vehicle_going_dir","speed_limit","driverless_vehicle","parked_vehicle","vehicle_year","vehicle_make","vehicle_model","equipment_problems","latitude","longitude","geolocation"
"EJ78880027","220018930","Gaithersburg Police Depar","Property Damage Crash","2022-05-04T11:30:00.000","Maryland (State)","GREAT SENECA HWY","Maryland (State)","QUINCE ORCHARD RD",,"N/A",,"SAME DIR REAR END","CLEAR","WET","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"AFD7055C-7C22-40A7-9C18-97282A3382CA","Yes","NO APPARENT INJURY","N/A, WET","BY MOVING OBJECT IN VEHICLE","MD","76CAE315-634E-4764-A9F4-EF62296ABCA9","FUNCTIONAL","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","East","East","50","No","No","2002","BMW","330I","NO MISUSE","39.12898427","-77.23833118","
,  
(39.12898427, -77.23833118)"
"EJ78880027","220018930","Gaithersburg Police Depar","Property Damage Crash","2022-05-04T11:30:00.000","Maryland (State)","GREAT SENECA HWY","Maryland (State)","QUINCE ORCHARD RD",,"N/A",,"SAME DIR REAR END","CLEAR","WET","DAYLIGHT","TRAFFIC SIGNAL","NONE DETECTED",,"FF2739CB-13E5-42D8-B533-F98712BDF62D","No","NO APPARENT INJURY","N/A, WET","NOT DISTRACTED","MD","AEB4611F-8DD8-401F-8BE1-7C2FD00EEF68","SUPERFICIAL","SIX OCLOCK","SIX OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","East","East","50","No","No","2019","NISSAN","UT","NO MISUSE","39.12898427","-77.23833118","
,  
(39.12898427, -77.23833118)"
"DD5645001X","220018920","Rockville Police Departme","Property Damage Crash","2022-05-04T10:21:00.000","Maryland (State)","W MONTGOMERY AVE","Municipality","NELSON ST",,"ROCKVILLE",,"SAME DIR REAR END","RAINING","WET","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"7A1ADD26-607E-4446-98D6-A3D33E3E90B9","No","NO APPARENT INJURY","N/A","NOT DISTRACTED","MD","5F3E38C9-7D0F-4A54-90CE-52D8C82BA89F","FUNCTIONAL","SIX OCLOCK","SIX OCLOCK","PASSENGER CAR","STOPPED IN TRAFFIC LANE","West","West","30","No","No","2019","FORD","2S","NO MISUSE","39.0857766","-77.17055548","
,  
(39.0857766, -77.17055548)"
"DD5645001X","220018920","Rockville Police Departme","Property Damage Crash","2022-05-04T10:21:00.000","Maryland (State)","W MONTGOMERY AVE","Municipality","NELSON ST",,"ROCKVILLE",,"SAME DIR REAR END","RAINING","WET","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"722E8DFE-B5CE-49B9-A70E-643EADEC075F","Yes","NO APPARENT INJURY","N/A","UNKNOWN","MD","478F2948-2D42-4158-BC70-78014CDAE0E4","FUNCTIONAL","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","West","West","30","No","No","2004","HOND","CP","NO MISUSE","39.0857766","-77.17055548","
,  
(39.0857766, -77.17055548)"
"MCP2181004K","220018890","Montgomery County Police","Injury Crash","2022-05-04T06:54:00.000","County","FATHER HURLEY BLVD","Ramp","RAMP 8 FR IS270 SB TO FATHER HURLEY BLVD",,"N/A",,"SAME DIR REAR END","RAINING","WET","DAYLIGHT","NO CONTROLS","N/A",,"77E7E2FE-A032-42BE-B66E-9AEA2281A1B7","No","NO APPARENT INJURY","RAIN, SNOW, WET","NOT DISTRACTED","MD","23073C0B-BA1F-4A1C-9467-3B887248052F","SUPERFICIAL","SIX OCLOCK","SIX OCLOCK","PASSENGER CAR","SLOWING OR STOPPING","South","South","40","No","No","2013","HOND","ACCORD","NO MISUSE","39.19881167","-77.261465","
,  
(39.19881167, -77.261465)"
"MCP2181004K","220018890","Montgomery County Police","Injury Crash","2022-05-04T06:54:00.000","County","FATHER HURLEY BLVD","Ramp","RAMP 8 FR IS270 SB TO FATHER HURLEY BLVD",,"N/A",,"SAME DIR REAR END","RAINING","WET","DAYLIGHT","NO CONTROLS","N/A",,"3559F658-F535-4F01-A972-EC649241DAEE","Yes","POSSIBLE INJURY","RAIN, SNOW, WET","NOT DISTRACTED","MD","610AF56F-56F4-45C7-B31E-3116A641B246","DISABLING","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","South","South","40","No","No","2012","HOND","CIVIC","NO MISUSE","39.19881167","-77.261465","
,  
(39.19881167, -77.261465)"
"MCP0617003W","220018888","Montgomery County Police","Property Damage Crash","2022-05-04T06:03:00.000","Maryland (State)","NEW HAMPSHIRE AVE","Maryland (State)","OLD MD 198",,"N/A",,"STRAIGHT MOVEMENT ANGLE","RAINING","WET","DARK NO LIGHTS","STOP SIGN","NONE DETECTED",,"126D0297-0289-44E8-85F4-910BEE488B22","Yes","NO APPARENT INJURY","RAIN, SNOW, WET","LOOKED BUT DID NOT SEE","MD","8DE05B37-91C2-4C36-B3AE-CBC9125ADEEE","DISABLING","NINE OCLOCK","NINE OCLOCK","PICKUP TRUCK","ACCELERATING","South","West","45","No","No","2015","TOYT","TK","NO MISUSE","39.122275","-76.98905833","
,  
(39.122275, -76.98905833)"
"MCP0617003W","220018888","Montgomery County Police","Property Damage Crash","2022-05-04T06:03:00.000","Maryland (State)","NEW HAMPSHIRE AVE","Maryland (State)","OLD MD 198",,"N/A",,"STRAIGHT MOVEMENT ANGLE","RAINING","WET","DARK NO LIGHTS","STOP SIGN","NONE DETECTED",,"0C71B980-FA7A-4DAE-A52F-BB1F126F5C86","No","NO APPARENT INJURY","RAIN, SNOW, WET","NOT DISTRACTED","MD","D869E01A-6676-43AD-B135-4A4215212371","DISABLING","ONE OCLOCK","ONE OCLOCK","(SPORT) UTILITY VEHICLE","MOVING CONSTANT SPEED","North","North","45","No","No","2021","TOYT","UT","NO MISUSE","39.122275","-76.98905833","
,  
(39.122275, -76.98905833)"
"DD55750028","220018881","Rockville Police Departme","Property Damage Crash","2022-05-04T01:18:00.000","Maryland (State)","NORBECK RD","Municipality","AVERY RD",,"ROCKVILLE",,"SINGLE VEHICLE","RAINING","WET","DARK LIGHTS ON","NO CONTROLS","NONE DETECTED",,"B24584C7-4A15-4721-9839-118AA8E46493","Yes","NO APPARENT INJURY","SLEET, HAIL, FREEZ. RAIN, WET","UNKNOWN","MD","8C8773D4-0729-4AB5-BBC3-3CF8F265C1D8","DESTROYED","TWELVE OCLOCK","TWELVE OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","West","West","50","No","No","2015","TOYOTA","COROLLA","NO MISUSE","39.09406978","-77.11860037","
,  
(39.09406978, -77.11860037)"
"MCP2825001Q","220018825","Montgomery County Police","Injury Crash","2022-05-03T17:30:00.000","County","MIDDLEBROOK RD","Maryland (State)","GERMANTOWN RD",,"N/A",,"SAME DIRECTION LEFT TURN","CLEAR","DRY","DAYLIGHT","NO CONTROLS","NONE DETECTED",,"25E13460-DF45-4A5F-9A93-2BCB060009F9","No","SUSPECTED MINOR INJURY","N/A","NOT DISTRACTED","MD","34D4718B-936D-4C05-B57D-928F7B940387","DISABLING","SEVEN OCLOCK","SEVEN OCLOCK","PASSENGER CAR","MOVING CONSTANT SPEED","West","West","40","No","No","2013","BMW","4S","NO MISUSE","39.17775833","-77.26563167","
,  
(39.17775833, -77.26563167)"
